MasterID,date,mean.svl,bci,next.bci
312,11/13/2012,50.55,0.017922781,-0.401307027
313,11/13/2012,50.24,0.233115895,-0.022633919
314,11/20/2012,54.9,-0.295343778,-0.095599578
224,11/27/2012,62.9,-0.027827107,0.28007714
310,11/27/2012,62.6,-0.557750985,0.629712257
315,11/27/2012,59.1,-0.212715857,-0.012938884
307,11/27/2012,59,-0.153306306,0.158234253
308,11/27/2012,60,-0.356772025,0.495678942
53,11/27/2012,69.9,-0.386660226,-0.05274037
316,11/28/2012,62.4,0.292474932,0.40867972
87,11/28/2012,62.5,0.050000414,0.843702584
285,11/28/2012,54.6,-0.260839214,0.243363115
313,11/30/2012,47.9,-0.022633919,0.433141632
317,11/30/2012,57.1,-0.311394726,0.291350874
259,11/30/2012,63.1,-0.378462728,0.360158044
248,12/8/2012,45.6,0.328144856,0.165602211
47,12/8/2012,57.8,0.022662988,-0.240324162
309,12/8/2012,51.4,-0.177901003,-0.173663667
318,12/9/2012,56,-0.256082841,-0.07953778
267,12/9/2012,65.1,-0.177616509,0.256048719
220,12/9/2012,49.2,0.13171785,0.375467609
319,12/9/2012,59.8,-0.347402723,0.124986221
250,12/9/2012,50.5,-0.025197268,0.009037728
320,12/9/2012,66.1,-0.275876212,0.126734461
187,12/9/2012,52.6,0.18993353,0.057248195
77,12/10/2012,69,-0.376391729,0.623921528
321,12/10/2012,54.2,-0.458184121,-0.629220871
188,12/16/2012,44.9,0.267679921,0.035199503
120,12/16/2012,54.4,-0.181128422,0.273365293
213,12/16/2012,45.2,0.063757205,-0.258427502
181,12/17/2012,57.6,-0.102624595,-0.055524126
285,12/17/2012,51.7,0.243363115,0.182738493
914,12/17/2012,65.4,-0.098225762,0.822991039
323,12/17/2012,59.1,-0.155036745,-0.05044747
324,12/17/2012,53.7,-0.186802145,0.085765753
285,12/17/2012,51.7,0.182738493,-0.163879337
325,12/18/2012,60,-0.139876325,0.367723852
235,12/25/2012,47.1,0.040706801,0.127178085
856,12/26/2012,59.2,-0.340274606,0.190662843
326,12/28/2012,51.3,0.360716847,0.49332257
328,1/8/2013,55.7,-0.288369224,0.138210966
329,1/9/2013,59.6,-0.499128573,0.171375619
329,1/10/2013,50.7,0.171375619,-0.400750898
331,1/11/2013,55.7,-0.069186074,-0.04868141
172,1/11/2013,65.5,-0.512533531,0.131610968
333,1/11/2013,62.1,-0.526865008,-0.314058478
334,1/15/2013,57.6,-0.08772119,-0.032100055
213,1/16/2013,54.2,-0.258427502,-0.021949865
336,2/11/2013,59.65,-0.204684059,-0.293069629
337,2/11/2013,49.05,0.011231507,-0.0089712
337,2/11/2013,49.05,-0.0089712,0.050989323
338,2/25/2013,56.8,0.066881377,0.029343457
914,2/25/2013,54.8,0.822991039,0.255457232
38,2/25/2013,51.6,-0.213587613,0.333392781
856,2/25/2013,61.3,0.190662843,-0.067062732
219,2/25/2013,62.5,0.305404827,0.1669621
339,2/25/2013,66.4,0.150874309,-0.142771833
205,2/25/2013,64.4,0.273466682,0.21339349
60,2/26/2013,62.9,0.232863517,0.12409664
187,2/26/2013,68.2,0.057248195,-0.032045042
343,2/26/2013,69,0.0831406,0.075380928
325,2/26/2013,62.8,0.367723852,-0.226257429
