MasterID,date,Direction.of.Travel,SVL_1stMeasurement,SVL_2ndMeasurement,TL,Weight,Volume.disp,Sex,Age,gravid,next.date,next.direction.of.travel,next.first.svl,next.second.svl,next.tl.svl,next.weight,next.vol.disp,next.sex,next.age,next.gravid,days.between.captures,is.pond.growth,is.upland.growth,in.out.out.in,is.training
626,10/30/2014,IN,49.2,NA,87.7,1.96,2,M,U,N,12/28/2014,OUT,45.8,NA,82.5,1.71,1.6,M,U,N,59,1,0,1,1
720,11/24/2014,IN,52.2,NA,92.4,1.96,1.8,M,U,N,12/7/2014,OUT,50.1,NA,90.3,1.78,1.8,M,U,N,13,1,0,1,1
188,11/9/2011,IN,50.1,NA,85.6,1.96,NA,M,A,N,3/17/2012,OUT,54,NA,82.6,3.23,3,M,A,N,129,1,0,1,1
891,11/22/2014,IN,50,NA,89.6,1.97,1.8,M,Y,N,12/22/2014,OUT,48,NA,82,1.58,1.6,M,Y,N,30,1,0,1,1
646,10/28/2014,IN,51.5,NA,85.4,1.97,2,U,U,N,11/22/2014,OUT,59.8,NA,84.1,1.78,1.8,U,U,N,25,1,0,1,1
256,12/5/2011,IN,50.2,NA,89.1,1.99,2,M,A,N,11/26/2013,IN,59.9,NA,105.4,4.17,3.1,M,A,N,722,0,0,0,0
321,12/10/2012,IN,54.2,NA,94.4,1.99,1.9,M,A,N,11/26/2013,IN,64.6,NA,101.2,2.73,2.6,M,A,N,351,0,0,0,0
235,11/23/2011,OUT,51.4,NA,92,1.99,1.8,M,A,N,12/27/2011,IN,49.6,NA,86.5,1.59,2.8,M,A,N,34,0,1,1,1
890,11/23/2014,IN,50.5,NA,87.1,2,1.87,M,Y,N,3/14/2015,OUT,49.6,NA,83.8,1.93,2,M,Y,N,111,1,0,1,1
154,1/2/2011,OUT,50.1,NA,67.8,2,NA,U,Y,N,12/5/2013,IN,65.9,NA,118.5,4.05,4,U,A,N,1068,0,0,0,0
38,11/4/2010,IN,41.8,NA,78.9,2,NA,M,Y,N,2/25/2013,OUT,51.6,NA,102.8,2.25,2.8,M,A,N,844,1,0,1,0
181,1/31/2011,OUT,49,NA,84,2,NA,M,Y,N,12/17/2012,OUT,57.6,NA,100.7,3.33,3,M,A,N,686,0,1,1,0
118,1/1/2011,OUT,50.5,NA,87.1,2,NA,M,Y,N,11/9/2011,IN,54.9,NA,96.5,2.62,NA,M,A,N,312,1,0,1,0
18,11/4/2010,IN,44.37,NA,77.2,2,NA,M,U,N,11/15/2010,OUT,40.91,NA,76.89,2.1,NA,M,U,N,11,1,0,1,1
652,11/22/2014,OUT,47.8,NA,87.4,2.01,2.2,U,U,N,10/26/2015,OUT,56.4,NA,104.6,3.1,3.2,M,A,N,338,0,0,0,0
670,11/6/2014,IN,49.9,NA,59.9,2.02,2.1,M,U,N,11/22/2014,OUT,50.3,NA,61.2,1.92,2.1,M,U,N,16,1,0,1,1
508,10/5/2018,IN,48.3,48,77.8,2.03,NA,U,A,N,11/1/2018,IN,48.4,47.9,81.2,2.13,NA,U,U,N,27,0,0,0,1
604,10/30/2014,IN,48.5,NA,82.5,2.03,1.8,M,U,N,11/24/2014,OUT,46.1,NA,79.8,1.95,2,M,U,N,25,1,0,1,1
603,10/31/2014,OUT,48.6,NA,85.4,2.03,2.1,M,U,N,11/23/2014,IN,48.8,NA,85.7,1.17,2,U,U,N,23,0,1,1,1
606,11/26/2014,OUT,48.6,NA,78.5,2.04,2,M,U,N,10/25/2015,IN,57.5,NA,86.3,2.34,2.4,M,U,N,333,0,1,1,0
629,10/30/2014,IN,40.5,NA,80.8,2.04,2,M,U,N,12/7/2014,OUT,43.3,NA,78.9,1.62,1.4,M,U,N,38,1,0,1,1
714,11/23/2014,IN,49.3,NA,85.5,2.04,2.2,F,U,N,12/1/2014,OUT,44.1,NA,79.1,1.91,2,F,U,N,8,1,0,1,1
661,10/29/2014,IN,51.9,NA,90,2.04,1.6,M,U,N,11/22/2014,OUT,49.8,NA,87,1.99,1.8,M,U,N,24,1,0,1,1
688,11/22/2014,IN,51.4,NA,91.1,2.06,1.4,U,U,N,3/27/2015,OUT,59.7,NA,95.4,5.1,5.5,U,U,N,125,1,0,1,1
759,12/16/2015,OUT,57.2,NA,99.6,2.07,2,U,U,N,12/4/2016,IN,66.3,63.4,112.6,4.16,NA,M,A,N,354,1,0,1,0
915,10/30/2014,IN,54.3,NA,93.4,2.09,2.4,M,Y,N,3/22/2015,OUT,53.1,NA,104.6,5.3,3.8,M,Y,N,143,1,0,1,1
671,11/23/2014,OUT,45.6,NA,80,2.09,1.2,M,U,N,3/22/2015,IN,42.9,NA,87.6,2.53,2.4,M,U,N,119,0,1,1,1
280,12/27/2011,IN,55.9,NA,98.2,2.1,2.4,M,A,N,11/12/2012,OUT,58.4,NA,106.9,3.73,3.8,M,A,N,321,0,0,0,0
657,10/30/2014,IN,48.8,NA,87.9,2.12,2.2,M,U,N,10/25/2015,IN,54.7,NA,103.2,3.24,3.2,M,U,N,360,0,0,0,0
626,2/16/2015,IN,47.7,NA,81.4,2.12,2,M,U,N,3/22/2015,OUT,47.4,NA,83.7,2.13,2.4,M,U,N,34,1,0,1,1
482,11/5/2018,IN,53.3,52.3,94.4,2.13,NA,M,A,N,11/12/2018,OUT,50.3,51.2,91.8,2.2,NA,M,A,N,7,1,0,1,1
626,3/22/2015,OUT,47.4,NA,83.7,2.13,2.4,M,U,N,11/12/2015,IN,51.5,NA,95.5,2.68,2.8,M,A,N,235,0,1,1,1
714,3/3/2015,IN,46.8,NA,85.5,2.13,2.2,F,U,N,3/22/2015,OUT,47.4,NA,85.3,2.9,3,F,U,N,19,1,0,1,1
599,10/30/2014,IN,39.9,NA,78.3,2.13,2.3,M,U,N,12/21/2014,OUT,45.7,NA,74.8,1.84,2,M,U,N,52,1,0,1,1
741,2/22/2015,IN,40.2,NA,87.3,2.14,2,F,U,N,11/2/2015,IN,52.1,NA,96,3.41,3.4,F,A,Y,253,0,0,0,1
250,12/21/2011,IN,51.7,NA,88.3,2.14,2.2,F,A,Y,12/9/2012,IN,50.5,NA,99.9,2.58,2.2,F,A,Y,354,0,0,0,0
658,10/30/2014,IN,49.7,NA,85.1,2.15,2.3,M,U,N,11/6/2014,OUT,46.1,NA,85.5,1.85,2.2,M,U,N,7,1,0,1,1
614,10/30/2014,IN,51.8,NA,94.1,2.16,2.4,M,U,N,11/23/2014,IN,51.1,NA,91,2.22,1.8,M,Y,N,24,0,0,0,1
643,10/30/2014,IN,47.1,NA,80.6,2.18,2.2,M,U,N,11/22/2014,OUT,46.8,NA,82.4,1.8,1.76,M,U,N,23,1,0,1,1
238,11/27/2011,IN,52.6,NA,94.2,2.18,2,M,A,N,3/13/2012,OUT,55,NA,95,3.72,3.6,U,A,N,107,1,0,1,1
671,10/30/2014,IN,49.1,NA,86.9,2.19,2,M,U,N,11/23/2014,OUT,45.6,NA,80,2.09,1.2,M,U,N,24,1,0,1,1
232,11/23/2011,IN,53.1,NA,96.8,2.19,2.4,M,A,N,12/9/2012,IN,52.1,NA,106.7,2.97,2.4,M,A,N,382,0,0,0,0
654,10/30/2014,IN,49.6,NA,86.7,2.2,2.4,M,U,N,12/22/2014,OUT,47.4,NA,84.3,1.95,2.2,M,U,N,53,1,0,1,1
854,12/5/2016,IN,58.6,58.5,105.5,2.21,NA,M,A,N,3/30/2017,OUT,56.9,56.8,106.9,6.4,NA,F,A,N,115,1,0,1,1
734,12/25/2014,IN,52.2,NA,90.5,2.21,2.2,U,U,N,10/27/2015,IN,52.2,NA,78.9,2.41,2.6,U,U,N,306,0,0,0,0
311,11/6/2012,IN,50.06,NA,80.79,2.21,2.2,F,A,U,11/12/2012,OUT,53.1,NA,82.1,2.63,2.3,F,A,U,6,1,0,1,1
633,10/30/2014,IN,46.8,NA,81,2.22,2.2,M,U,N,12/22/2014,OUT,48.8,NA,84.6,1.94,2.1,M,Y,N,53,1,0,1,1
285,1/11/2012,OUT,51.5,NA,101.9,2.22,2.4,M,A,N,1/27/2012,IN,61.6,NA,101.3,2.41,2.2,M,A,N,16,0,1,1,1
243,11/27/2011,IN,49,NA,82.5,2.22,2.6,F,A,Y,12/5/2011,OUT,52.6,NA,86.9,2.15,2,F,A,Y,8,1,0,1,1
197,11/9/2011,IN,54.7,NA,85.8,2.22,NA,M,A,N,11/16/2011,OUT,53.3,NA,81.8,1.9,1.8,M,A,N,7,1,0,1,1
628,12/22/2014,OUT,44.2,NA,83,2.23,2,M,U,N,10/25/2015,IN,60.4,NA,105,3.62,3.2,M,U,N,307,1,0,1,0
680,11/22/2014,IN,53.5,NA,93.9,2.24,2.2,M,U,N,10/16/2015,IN,55.1,NA,97.5,3.78,3.8,M,A,N,328,0,0,0,0
294,3/2/2012,OUT,54.4,NA,92.3,2.24,2.2,U,A,N,3/20/2012,OUT,53.1,NA,94.1,2.32,2.1,U,A,N,18,0,1,1,1
118,11/16/2011,OUT,50.7,NA,92.1,2.24,2.2,M,A,N,2/19/2012,OUT,50.5,NA,95,2.99,3,M,A,N,95,0,0,0,1
388,3/30/2017,IN,44.6,44.4,82.4,2.25,NA,U,A,N,11/8/2017,IN,53.5,53.3,94.9,3.12,NA,M,A,N,223,0,0,0,1
681,12/20/2014,OUT,52.8,NA,94.6,2.25,2,F,U,N,11/9/2015,IN,66.4,NA,115.4,5.43,5.4,F,A,Y,324,1,0,1,0
683,11/22/2014,IN,48.6,NA,84.9,2.25,2.2,M,U,N,3/18/2015,IN,43.8,NA,76.2,2.04,2,M,U,N,116,0,0,0,1
38,2/25/2013,OUT,51.6,NA,102.8,2.25,2.8,M,A,N,11/27/2013,OUT,53.5,NA,106.2,4.25,3.2,M,A,N,275,0,0,0,1
37,11/4/2010,IN,45.8,NA,90.6,2.25,NA,U,Y,N,2/26/2013,OUT,49.6,NA,99.2,4.52,4.8,U,A,N,845,1,0,1,0
167,1/5/2011,OUT,48,NA,78.5,2.25,NA,U,Y,N,11/27/2011,IN,50.8,NA,86.6,1.86,1.6,M,A,N,326,0,1,1,0
15,11/4/2010,IN,42.8,NA,81.75,2.25,NA,M,Y,N,11/16/2011,IN,56.4,NA,102.8,3.1,3,M,A,N,377,0,0,0,0
140,1/1/2011,IN,51.2,NA,92.4,2.25,NA,M,A,N,11/3/2011,OUT,58.3,NA,108.2,3.55,NA,M,A,N,306,1,0,1,0
199,11/9/2011,IN,49.9,NA,90.4,2.27,NA,M,A,N,11/16/2011,OUT,50.9,NA,86.5,2.2,2.2,M,A,N,7,1,0,1,1
508,9/26/2018,OUT,45.5,44.5,75.3,2.28,NA,U,U,N,10/5/2018,IN,48.3,48,77.8,2.03,NA,U,A,N,9,0,1,1,1
313,11/30/2012,IN,47.9,NA,86.1,2.29,2.3,F,A,Y,11/1/2013,OUT,53.7,NA,97.9,4.74,4.4,F,A,Y,336,0,1,1,0
660,12/7/2014,OUT,51.1,NA,93.4,2.3,2,M,U,N,3/21/2015,IN,45.6,NA,92.5,3.03,3,M,U,N,104,0,1,1,1
438,10/24/2017,IN,46.5,46.6,80.5,2.31,NA,M,A,N,12/5/2017,OUT,42,40.5,77.5,1.61,NA,M,A,N,42,1,0,1,1
309,12/8/2012,IN,51.4,NA,92.4,2.31,2.8,F,A,N,2/25/2013,OUT,63.4,NA,100.5,4.07,4,F,A,N,79,1,0,1,1
